TSI CPC DATA VERSION 3
1490693396,2017/3/28,09:29:56
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/28,09:29:45,1.70e3,53191,14.35,,1011,0.000,2497,544,0
2017/3/28,09:30:00,1.68e3,54684,14.93,,1011,0.000,2529,480,0
2017/3/28,09:30:15,1.71e3,55623,14.93,,1011,0.000,2525,513,0
2017/3/28,09:30:30,1.70e3,55414,14.93,,1011,0.000,2542,501,0
2017/3/28,09:30:45,1.68e3,54820,14.93,,1011,0.000,2570,469,0
2017/3/28,09:31:00,1.68e3,54770,14.93,,1011,0.000,2503,517,0
2017/3/28,09:31:15,1.67e3,54322,14.93,,1011,0.000,2515,515,0
2017/3/28,09:31:30,1.66e3,54256,14.93,,1011,0.000,2551,474,0
2017/3/28,09:31:45,1.67e3,54364,14.93,,1011,0.000,2541,506,0
2017/3/28,09:32:00,1.66e3,54015,14.93,,1011,0.000,2535,496,0
2017/3/28,09:32:15,1.62e3,52802,14.93,,1011,0.000,2529,498,0
2017/3/28,09:32:30,1.63e3,53154,14.93,,1011,0.000,2496,528,0
2017/3/28,09:32:45,1.63e3,53058,14.93,,1011,0.000,2509,518,0
2017/3/28,09:33:00,1.62e3,52880,14.93,,1011,0.000,2545,489,0
2017/3/28,09:33:15,1.63e3,53216,14.93,,1011,0.000,2541,509,0
2017/3/28,09:33:30,1.63e3,53282,14.93,,1011,0.000,2510,532,0
2017/3/28,09:33:45,1.62e3,52668,14.93,,1011,0.000,2480,537,0
2017/3/28,09:34:00,1.61e3,52338,14.93,,1011,0.000,2524,518,0
2017/3/28,09:34:15,1.62e3,52836,14.93,,1011,0.000,2531,501,0
2017/3/28,09:34:30,1.61e3,52597,14.93,,1011,0.000,2523,504,0
2017/3/28,09:34:45,1.59e3,51786,14.94,,1011,0.000,2518,506,0
2017/3/28,09:35:00,1.58e3,51577,14.94,,1011,0.000,2481,555,0
2017/3/28,09:35:15,1.56e3,50797,14.94,,1011,0.000,2490,529,0
2017/3/28,09:35:30,1.59e3,51948,14.94,,1011,0.000,2530,495,0
2017/3/28,09:35:45,1.56e3,50901,14.94,,1011,0.000,2515,524,0
2017/3/28,09:36:00,1.55e3,50461,14.94,,1011,0.000,2534,500,0
2017/3/28,09:36:15,1.56e3,50740,14.94,,1011,0.000,2482,538,0
