Sample File,D:\OlinCollege\All_data\OlinCollege\Sham!\High1.S80,,,,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017
Start Time,9:42:00,9:47:04,9:52:04,9:57:04,10:02:04,10:07:04,10:12:04,10:17:04,10:22:04,10:27:04,10:32:04,10:37:04,10:42:04,10:47:04,10:52:04,10:57:04,11:02:04,11:07:04,11:12:04,11:17:04,11:22:04,11:27:04,11:32:04,11:37:04,11:42:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,64975.8,68231.4,57351.1,77876.6,70135.1,78841.8,49201.1,71161.1,62658.7,52335,85474.8,163460,158683,115055,109604,112859,94529,98606.4,76381.4,102740,64975.8,87521.9,61163.4,74764.3,65792.6
