Sample File	D:\OlinCollege\All_data\OlinCollege\Sham!\High 2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	13:50:22	13:55:26	14:00:26	14:05:26	14:10:26	14:15:26	14:20:26	14:25:26	14:30:26	14:35:26	14:40:26	14:45:26	14:50:26	14:55:26	15:00:26	15:05:26	15:10:26	15:15:26	15:20:26	15:25:26	15:30:26	15:35:26	15:40:26	15:45:26	15:50:26
Diameter Midpoint
7.10	109482	83714.4	74764.3	73390.8	64093.1	66057.7	71895.5	92829.5	65853.5	52865.2	59668.1	103236	116672	107313	94855	69109.1	89430.5	93651.3	61897.8	79576.1	71834.6	73329.9	75090.3	49874.6	62658.7
7.37	89892.1	52609.6	54552.9	68324.7	59627.6	61736	51831.9	53100.6	47248.3	56640.5	63474.9	75957.5	86905	75691.4	85902.4	71864.6	68590.8	65275.8	79517.8	65787.3	61203.7	59668.9	60446.5	55371.8	65009.7
7.64	60705.2	68770.7	53347.6	62872.3	54431.2	61106.8	50122.9	55287.4	51485.7	41175.2	48786.1	78216.5	93718.5	63203.5	63404.9	65520	61491	54002.5	55794	56624.3	45561.4	51206.5	51180.5	44679.2	52893
7.91	56185.6	61793.6	53620.6	41500.4	41736.7	35906.4	34287.9	44765.7	45276.2	30530.4	36606.8	82522.7	61343.7	67666.1	60661.7	59696.9	45058.3	53871	41532.8	59228.6	37553.2	25669.2	38007.4	34742.1	35906.4
8.20	52720.1	56146.4	49699.6	34542.5	35747.5	39183.3	30718.9	38983.3	40794.1	37567.8	32114.4	60185.2	68479.2	49699.6	49685.3	45450.2	50693.1	41802.9	41612.4	50496.8	31105.6	30900.9	32722.2	23831	30297.9
8.51	37892.4	42305.5	47582.1	37897.9	31377.3	36841.4	41587	38777.2	31379.9	33666.9	27674.7	59405.7	49697.5	46523	44949.3	37364.3	44069.8	29087.5	29076.8	37189.9	28025.8	31200.3	38426.1	26972.1	23972
8.82	43108	40937.2	32737.4	21918.2	32590.7	24416.3	26101.2	28890.1	28890.1	25313.4	27653.8	41693.6	45247.4	46354	36136	39683.9	36917.8	31518	26581.1	24540.1	35528.8	27475.8	32582.2	27809	27662.3
9.14	30692.6	29047	31718.7	30978.5	32508	21454.8	31419.7	27195.5	25679	20394	30576.5	34542.5	38895.9	37650.8	39917.3	36835.2	34720.8	27623.6	31678	33338.1	26094	30617.2	23128	16312	19822.3
9.47	29278.8	31276.9	24282.9	26161.3	22251.2	23026.8	23129.6	22647.4	20133.5	24817.5	26006.1	46035.1	27366.8	29949.9	35824.2	23406.2	33000.1	27968.6	26591.2	20632.5	20615.7	17739.2	19357.9	19271.9	17412.2
9.82	28554.7	23430.2	20842.2	29610.8	19128.3	20490.2	17289.1	17547.6	18517.8	23895.6	19185	26668.2	26602.1	27362.9	31724	22002.3	23802	22879	22669.5	17680.7	17062.4	19337.9	23413.1	18574.5	19165.3
 10.2	22381.6	24032.3	20350.2	13505.6	25306.2	18845.1	15134.2	15314.9	17485.5	23604.6	18113.2	29913.7	29834.5	20993.5	21874.6	21709.6	22194.5	19814.6	21782.5	19453.4	16515.9	13369.2	15010.8	22419.4	12992.2
 10.6	22230.8	15113.7	17859	22968.3	12728.7	18180.4	17198.3	12013.6	17198.3	17121.4	16038.4	23337.9	22677.2	19553	26677.9	22648.4	21278.9	14766.7	18548.4	14451.5	17860.5	14106	16460.7	12042.4	11986.5
 10.9	20643.1	16074.3	16340.9	16648.7	12960.7	13864.2	12628.7	10440	12034.4	9869.8	19431.8	23973.6	21855.9	16031.6	26256.2	15437.3	19451.7	12008.9	11725.2	14479.9	11106.7	13268.5	15743.8	14790.5	13248.6
 11.3	16789.4	15326.2	15649.4	16159.9	13160.3	14300.3	14859.4	16412.6	10923.9	12734.9	12343.5	22725.2	18622.2	19563	14837.5	20938.8	14740.3	14762.2	12042.1	14203.1	12321.7	13160.3	10644.4	13182.1	12902.6
 11.8	18658.6	15616.8	13588.8	15153.8	13181.4	12497	14051.8	10888.6	11081.7	9257.82	10393.1	17898.2	12960.6	18802.3	12530.8	15435.1	12183.8	16277.6	11842.2	14068.1	9307.28	8365.14	10321.2	7714.52	11626.7
 12.2	13993.5	14539.8	13763.2	11783.9	9486.59	12369.1	11690.1	12244.6	10430.4	10177.6	8428.68	16484.4	14497	14093.3	12108	13237.2	15173.7	11453.8	8493.94	12395.5	10200.1	9213.45	9969.72	7731.62	10805.6
 12.6	11395.1	12464.1	12867.4	9951.94	12351.2	10478.1	9922.79	11213.9	9847.11	8565.25	10162.3	13250.8	14185.9	12427.5	11988.8	12140.9	10066.7	11844.9	10888.8	13028.7	9675.2	8183.68	6711.37	8298.45	7618.43
 13.1	10917.7	10753.2	12055.2	9713.84	11448.7	7418.24	10339.4	9077.65	6589.29	9578.96	9328.3	14052.9	13644.7	12978.8	10139.6	14475.1	11015.9	11892.2	10050.6	9000.65	9252.81	9270.42	7593.4	9917.19	6033.66
 13.6	10599.7	8926.61	12383.8	8495.65	9447.92	8603.34	8349.05	8502.72	8303.07	8066.29	9732.28	14949	12283.2	8642.25	9702.22	8349.05	10961.8	9702.22	9320.43	9456.59	8349.05	7112.42	6352.73	8589.2	5776.77
 14.1	7423.37	8230.57	7603.74	7036.18	9897.73	8260.84	8848.2	9193.24	8251.65	7552.38	11409.6	13323	12396	10092.7	11721.6	7561.58	7975.08	10606.2	8209.49	9193.24	9829.26	9010.18	6598.91	5422.91	5660.01
 14.6	7056.61	9053.36	8082.1	8325.69	7384.87	9083.79	8019.41	7197.07	7972.07	5190.03	9775.96	11500.2	8758.92	10475	9022.93	8418.82	8686.21	7445.73	6741.87	7533.78	7266.38	6044.64	5542.1	6623.39	5032.67
 15.1	5550.66	7680.75	7681.56	6992.63	6819.89	6814.57	5887.15	6096.65	5168.41	7676.25	10673.3	9842.27	9914.15	7550.06	7161.69	7920.87	9404.09	7915.56	4862.54	7237.25	5265.6	7024.07	6438.46	6335.96	6508.7
 15.7	6857.37	6417	7851.82	5198.1	5994.73	5945.71	5364.99	6583.9	5809.64	4924.62	7851.82	9972.61	7847.55	7689.09	6804.08	6958.36	7275.37	7151.9	5673.56	4912.01	6834.9	6421.17	4885.27	5329.91	5334.18
