TSI CPC DATA VERSION 3
1490702240,2017/3/28,11:57:20
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/28,11:57:15,5.43e3,174764,14.81,,1010,0.000,2526,488,0
2017/3/28,11:57:30,5.41e3,174130,14.81,,1010,0.000,2506,510,0
2017/3/28,11:57:45,5.52e3,177624,14.8,,1010,0.000,2478,518,0
2017/3/28,11:58:00,5.51e3,177389,14.81,,1010,0.000,2508,511,0
2017/3/28,11:58:15,5.47e3,176194,14.81,,1010,0.000,2485,509,0
2017/3/28,11:58:30,5.55e3,178744,14.8,,1010,0.000,2495,512,0
2017/3/28,11:58:45,5.49e3,176606,14.81,,1010,0.000,2478,523,0
2017/3/28,11:59:00,5.43e3,174692,14.81,,1010,0.000,2528,473,0
2017/3/28,11:59:15,5.39e3,173635,14.81,,1010,0.000,2498,496,0
2017/3/28,11:59:30,5.40e3,173854,14.81,,1010,0.000,2504,493,0
2017/3/28,11:59:45,5.41e3,174142,14.81,,1010,0.000,2474,538,0
2017/3/28,12:00:00,5.30e3,170832,14.81,,1010,0.000,2481,513,0
2017/3/28,12:00:15,5.32e3,171194,14.81,,1010,0.000,2496,510,0
2017/3/28,12:00:30,5.37e3,173058,14.81,,1010,0.000,2482,512,0
2017/3/28,12:00:45,5.27e3,169608,14.81,,1010,0.000,2513,504,0
2017/3/28,12:01:00,5.22e3,168017,14.82,,1010,0.000,2520,478,0
2017/3/28,12:01:15,5.09e3,164038,14.82,,1010,0.000,2454,546,0
2017/3/28,12:01:30,4.97e3,160160,14.82,,1010,0.000,2482,516,0
2017/3/28,12:01:45,4.88e3,157388,14.83,,1010,0.000,2515,498,0
2017/3/28,12:02:00,4.84e3,156040,14.83,,1010,0.000,2507,516,0
2017/3/28,12:02:15,4.73e3,152688,14.83,,1010,0.000,2529,485,0
2017/3/28,12:02:30,4.85e3,156431,14.83,,1010,0.000,2485,520,0
2017/3/28,12:02:45,6.01e3,192907,14.79,,1010,0.000,2470,511,0
2017/3/28,12:03:00,2.04e4,623210,14.35,,1010,0.000,2369,529,0
2017/3/28,12:03:15,4.27e4,1266879,13.71,,1010,0.000,2186,485,0
2017/3/28,12:03:30,4.39e4,1300175,13.68,,1010,0.000,2142,515,0
2017/3/28,12:03:45,8.19e4,2228650,12.7,,1010,0.000,1925,509,0
2017/3/28,12:04:00,7.70e4,2108655,12.83,,1010,0.000,1968,515,0
2017/3/28,12:04:15,1.03e5,2675346,12.2,,1010,0.000,1898,489,0
2017/3/28,12:04:30,2.16e5,4558373,9.778,,1010,0.000,1633,540,0
2017/3/28,12:04:45,2.03e5,4400098,10.02,,1010,0.000,1645,526,0
2017/3/28,12:05:00,2.55e5,4979857,9.093,,1010,0.000,1564,571,0
2017/3/28,12:05:15,2.85e5,5244416,8.589,,1010,0.000,1501,555,0
2017/3/28,12:05:30,2.69e5,5141149,8.84,,1010,0.000,1535,517,0
2017/3/28,12:05:45,2.60e5,5064910,8.984,,1010,0.000,1553,529,0
2017/3/28,12:06:00,3.04e5,5429889,8.276,,1010,0.000,1503,548,0
2017/3/28,12:06:15,3.25e5,5584613,7.94,,1010,0.000,1497,570,0
2017/3/28,12:06:30,3.72e5,5834674,7.273,,1010,0.000,1431,551,0
2017/3/28,12:06:45,3.89e5,5898908,7.029,,1010,0.000,1419,567,0
2017/3/28,12:07:00,3.89e5,5905819,7.043,,1010,0.000,1472,573,0
2017/3/28,12:07:15,3.97e5,5941553,6.932,,1010,0.000,1456,563,0
2017/3/28,12:07:30,4.21e5,6010065,6.635,,1010,0.000,1407,552,0
2017/3/28,12:07:45,4.10e5,5969119,6.777,,1010,0.000,1407,587,0
2017/3/28,12:08:00,4.29e5,6037553,6.532,,1010,0.000,1391,549,0
2017/3/28,12:08:15,4.05e5,5966574,6.827,,1010,0.000,1430,554,0
2017/3/28,12:08:30,4.53e5,6091949,6.243,,1010,0.000,1420,577,0
2017/3/28,12:08:45,4.59e5,6119833,6.156,,1010,0.000,1412,572,0
2017/3/28,12:09:00,4.96e5,6173220,5.756,,1010,0.000,1383,577,0
2017/3/28,12:09:15,5.05e5,6187743,5.656,,1010,0.000,1402,578,0
2017/3/28,12:09:30,5.26e5,6194712,5.446,,1010,0.000,1376,596,0
2017/3/28,12:09:45,4.96e5,6169036,5.755,,1010,0.000,1413,589,0
2017/3/28,12:10:00,5.38e5,6196544,5.318,,1010,0.000,1372,587,0
2017/3/28,12:10:15,5.11e5,6160595,5.618,,1010,0.000,1413,592,0
2017/3/28,12:10:30,4.89e5,6163623,5.842,,1010,0.000,1389,577,0
2017/3/28,12:10:45,5.53e5,6198351,5.179,,1010,0.000,1387,598,0
2017/3/28,12:11:00,5.31e5,6194993,5.397,,1010,0.000,1379,588,0
2017/3/28,12:11:15,5.51e5,6199586,5.199,,1010,0.000,1328,606,0
2017/3/28,12:11:30,5.28e5,6199096,5.42,,1010,0.000,1348,573,0
2017/3/28,12:11:45,5.40e5,6200522,5.306,,1010,0.000,1356,583,0
2017/3/28,12:12:00,5.45e5,6200717,5.252,,1010,0.000,1416,588,0
