Sample File	D:\OlinCollege\All_data\OlinCollege\Sham!\Low 2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	11:40:53	11:45:57	11:50:57	11:55:57	12:00:57	12:05:57	12:10:57	12:15:57	12:20:57	12:25:57	12:30:57	12:35:57	12:40:57	12:45:57	12:50:57	12:55:57	13:00:57	13:05:57	13:10:57	13:15:57	13:20:57	13:25:57	13:30:57	13:35:57	13:40:57
Diameter Midpoint
7.10	91538.4	46414.8	64975.8	82627.6	82362.5	61897.8	53626.1	52191.7	67348.8	70339.3	76320.5	141005	146251	107782	94794.1	142996	112064	100102	116754	92156	104588	92625.3	92972.9	130212	65710.1
7.37	64252.5	37365	61162.4	52875.7	59710.1	79784	44669.7	54328	55862.9	62738.5	51054.3	118622	112524	93760.2	103152	104072	100308	97238	92695.6	76960	67322.1	78474.1	91918	78536.1	86884.5
7.64	50927.2	236476	48532.8	69120.4	56397	52316	58284.8	44102.2	43368.3	38579.4	44224.5	93465.2	72221.7	99336.6	74939.8	92381.7	74310.9	71768.1	70736.5	82960.9	67232.5	70457.2	64838.1	54981.2	64610.8
7.91	62465.8	83330.1	32863.4	49640.9	35224.5	46894.8	43351	48059.1	52924.6	34974.1	40568.1	87666.7	94907.4	86766.8	64094.1	68083.6	69924.4	60378.9	57614.4	56728.6	45243.8	70870.8	50141.7	49408.9	48277
8.20	42621.2	28893.9	34342.5	34346.2	28482.4	31914.4	44436.7	44431.9	38376.6	33528.9	33528.9	74529.8	71504.5	64019.4	70495.7	66250.1	72302.8	58970.7	55951.2	41612.4	54535.6	53126.9	39996.9	46869.5	47266.8
8.51	30136	17086.9	27138.4	33133.5	32782.1	26084.8	26084.8	32610.6	35956.7	22033.6	24854.1	60456.8	68210.6	62403.3	58161.7	51997.8	54821.2	43544.2	43533.5	52175	49354.2	42294.8	43533.5	45469.3	39830.9
8.82	35690	23628.5	32429.5	29971.3	26581.1	26889	24709.7	29361.6	28890.1	25652.6	58646.1	54381.6	40626.8	48338.2	38927.5	57627.6	52533.1	44807.3	41546.9	40477.6	39074.2	42182	41871.6	29801.7	28867.3
9.14	18916.9	15522.7	30318.3	24046.5	25808.1	27752.7	23605.3	24487.7	25018.8	21686.8	670693	50037.6	45684.2	47290.5	40786.7	40670.6	40487.7	42120.2	30318.3	37534.7	36072.1	25446.9	33841.6	24876.5	28556.6
9.47	15999.2	18410.3	25213.7	20133.5	27935	21699.8	21374.5	27572.4	20632.5	28383.6	452086	47223.7	36528.9	35927	37183.1	36407.5	35237.4	39009.2	26970.5	27417.4	29191.1	26694	27935	26574.3	22458.6
